DATE,CURRENT_THREAT,IP,URL,HASH,KNOWN_THREAT,THREAT_LV,THREAT_LV_LOW,THREAT_LV_MED,THREAT_LV_HI,THREAT_LV_UNDEF,CLASS,Notes
"June 4th 2017, 19:00:00.000",TRUE,185.62.189.129,,,Hash,Low,Low,,,,RH,
"March 10th 2016, 18:00:00.000",FALSE,213.231.5.12,,,Hash,Low,Low,,,,RH,
"June 11th 2017, 19:00:00.000",TRUE,185.60.216.35,,,Hash,Low,Low,,,,RH,
"June 4th 2017, 19:00:00.000",TRUE,62.210.139.92,,,Hash,Low,Low,,,,RH,
"June 4th 2017, 19:00:00.000",TRUE,62.210.139.92,,,Hash,Low,Low,,,,RH,
"March 10th 2016, 18:00:00.000",FALSE,8.8.8.8,,,Hash,Low,Low,,,,FP,
"March 10th 2016, 18:00:00.000",FALSE,,xnxx[.]com,,Hash,Low,Low,,,,RH,
"June 26th 2017, 19:00:00.000",TRUE,,,dc39a7c3de4a13ca1ddd43b16f161430a017d82d347bb06e622ac246d301ff78,,Undefined,,,,Undefined,TP,
"March 6th 2017, 18:00:00.000",TRUE,109.169.61.8,,,,Undefined,,,,Undefined,FP,TP at one time but old and possibly FP 
"June 21st 2017, 19:00:00.000",TRUE,,,a053a2a795f056c9687f03a4a1ccfd842bc9cd10bc06bbb99da8283c078e78b6,,Undefined,,,,Undefined,TP,
"June 21st 2017, 19:00:00.000",TRUE,,,82502191c9484b04d685374f9879a0066069c49b8acae7a04b01d38d07e8eca0,,Undefined,,,,Undefined,FP,FP because this is a file that is part of malware but also port of a lot of other things
"June 22nd 2017, 19:00:00.000",TRUE,89.45.235.21,,,WannaCry,Undefined,,,,Undefined,TP,
"June 22nd 2017, 19:00:00.000",TRUE,81.30.158.223,,,WannaCry,Undefined,,,,Undefined,TP,
"June 22nd 2017, 19:00:00.000",TRUE,81.30.158.223,,,WannaCry,Undefined,,,,Undefined,TP,
"June 22nd 2017, 19:00:00.000",TRUE,188.166.23.127,,,WannaCry,Undefined,,,,Undefined,TP,
"June 22nd 2017, 19:00:00.000",TRUE,89.45.235.21,,,WannaCry,Undefined,,,,Undefined,TP,
"March 24th 2016, 19:00:00.000",FALSE,103.9.103.191,,,,Undefined,,,,Undefined,TP,
"March 24th 2016, 19:00:00.000",FALSE,103.9.103.191,,,,Undefined,,,,Undefined,TP,
"June 13th 2017, 19:00:00.000",TRUE,,api-restlet[.]com,,,Undefined,,,,Undefined,RH,probably FP but could be related to malicious adware
"May 25th 2017, 19:00:00.000",TRUE,,s29.postimg[.]org,,,Low,Low,,,,TP,
"May 25th 2017, 19:00:00.000",TRUE,213.174.135.1,,,,Low,Low,,,,TP,
"June 19th 2016, 19:00:00.000",FALSE,209.99.40.222,,,APT,Medium,,Medium,,,FP,TP at one time but old and possibly FP 
"June 19th 2016, 19:00:00.000",FALSE,209.99.40.225,,,APT,Medium,,Medium,,,FP,TP at one time but old and possibly FP 
"October 11th 2016, 19:00:00.000",FALSE,209.99.40.226,,,APT,Medium,,Medium,,,FP,TP at one time but old and possibly FP 
"October 11th 2016, 19:00:00.000",FALSE,209.99.40.226,,,APT,Medium,,Medium,,,FP,TP at one time but old and possibly FP 
