Report Publish Date,IOC,Report Title,Threat Level in MISP,FT/TP/RH
"June 4th 2017, 19:00:00.000",185.62.189.129,03cc76e7363ee0ffffae9c1a5d04582d,Low,
"June 4th 2017, 19:00:00.000",185.62.189.129,03cc76e7363ee0ffffae9c1a5d04582d,Low,
"June 4th 2017, 19:00:00.000",185.62.189.129,03cc76e7363ee0ffffae9c1a5d04582d,Low,
"March 10th 2016, 18:00:00.000",213.231.5.12,3573ecc93785ef9229770b514fcdba9a,Low,
"June 11th 2017, 19:00:00.000",185.60.216.35,680daa03c8d0d4a5d40a9711a6ccb58a,Low,
"June 4th 2017, 19:00:00.000",62.210.139.92,718444887dd1b78b405b2c9ac2c51624,Low,
"June 4th 2017, 19:00:00.000",62.210.139.92,718444887dd1b78b405b2c9ac2c51624,Low,
"March 10th 2016, 18:00:00.000",8.8.8.8,7a229957db6b6723330df0db19a83d64,Low,
"March 10th 2016, 18:00:00.000",xnxx[.]com,7bf0b45e44ea96bb58ebe53a3ec7368c,Low,
"June 26th 2017, 19:00:00.000",dc39a7c3de4a13ca1ddd43b16f161430a017d82d347bb06e622ac246d301ff78,AlienVault | Emotet Spam campaign,Undefined,
"March 6th 2017, 18:00:00.000",109.169.61.8,AlienVault | Rocket Kitten: A campaign with 9 lives,Undefined,
"June 21st 2017, 19:00:00.000",a053a2a795f056c9687f03a4a1ccfd842bc9cd10bc06bbb99da8283c078e78b6,AlienVault | SageCrypt Downloaders,Undefined,
"June 21st 2017, 19:00:00.000",82502191c9484b04d685374f9879a0066069c49b8acae7a04b01d38d07e8eca0,AlienVault | The New and Improved macOS Backdoor from OceanLotus,Undefined,
"June 22nd 2017, 19:00:00.000",89.45.235.21,AlienVault | WannaCry Indicators,Undefined,
"June 22nd 2017, 19:00:00.000",81.30.158.223,AlienVault | WannaCry Indicators,Undefined,
"June 22nd 2017, 19:00:00.000",81.30.158.223,AlienVault | WannaCry Indicators,Undefined,
"June 22nd 2017, 19:00:00.000",188.166.23.127,AlienVault | WannaCry Indicators,Undefined,
"June 22nd 2017, 19:00:00.000",89.45.235.21,AlienVault | WannaCry Indicators,Undefined,FP
"March 24th 2016, 19:00:00.000",103.9.103.191,AlienVault | Widespread Malspam Campaign Delivering Locky Ransomware,Undefined,
